n,k,Num of Dice Combos
3,3,1
3,4,1
3,5,2
3,6,2
3,7,4
3,8,5
3,9,6
3,10,8
3,11,10
3,12,11
3,13,14
3,14,16
3,15,18
3,16,21
3,17,24
3,18,26
3,19,30
3,20,33
3,21,36
3,22,40
3,23,44
3,24,47
3,25,52
3,26,56
3,27,60
3,28,65
3,29,70
3,30,74
3,31,80
3,32,85
3,33,90
3,34,96
3,35,102
3,36,107
3,37,114
3,38,120
3,39,126
4,4,1
4,5,1
4,6,2
4,7,2
4,8,4
4,9,5
4,10,6
4,11,9
4,12,13
4,13,15
4,14,19
4,15,24
4,16,30
4,17,35
4,18,42
4,19,49
4,20,59
4,21,67
4,22,77
4,23,88
4,24,102
4,25,113
4,26,128
4,27,143
4,28,161
4,29,177
4,30,197
4,31,216
4,32,240
4,33,261
4,34,286
4,35,311
4,36,341
4,37,367
4,38,399
4,39,430
5,5,1
5,6,1
5,7,2
5,8,2
5,9,4
5,10,5
5,11,6
5,12,9
5,13,13
5,14,15
5,15,19
5,16,25
5,17,34
5,18,42
5,19,51
5,20,61
5,21,77
5,22,93
5,23,111
5,24,130
5,25,154
5,26,180
5,27,211
5,28,243
5,29,280
5,30,319
5,31,365
5,32,414
5,33,470
5,34,527
5,35,591
5,36,661
5,37,740
5,38,821
5,39,910
6,6,1
6,7,1
6,8,2
6,9,2
6,10,4
6,11,5
6,12,6
6,13,9
6,14,13
6,15,15
6,16,19
6,17,25
6,18,34
6,19,42
6,20,51
6,21,61
6,22,78
6,23,98
6,24,122
6,25,146
6,26,175
6,27,209
6,28,252
6,29,301
6,30,358
6,31,417
6,32,487
6,33,567
6,34,660
6,35,762
6,36,878
6,37,1002
6,38,1145
6,39,1302
7,7,1
7,8,1
7,9,2
7,10,2
7,11,4
7,12,5
7,13,6
7,14,9
7,15,13
7,16,15
7,17,19
7,18,25
7,19,34
7,20,42
7,21,51
7,22,61
7,23,78
7,24,98
7,25,122
7,26,146
7,27,175
7,28,209
7,29,253
7,30,307
7,31,374
7,32,444
7,33,524
7,34,617
7,35,729
7,36,857
7,37,1009
7,38,1178
7,39,1371
8,8,1
8,9,1
8,10,2
8,11,2
8,12,4
8,13,5
8,14,6
8,15,9
8,16,13
8,17,15
8,18,19
8,19,25
8,20,34
8,21,42
8,22,51
8,23,61
8,24,78
8,25,98
8,26,122
8,27,146
8,28,175
8,29,209
8,30,253
8,31,307
8,32,374
8,33,444
8,34,524
8,35,617
8,36,729
8,37,858
8,38,1016
8,39,1200
9,9,1
9,10,1
9,11,2
9,12,2
9,13,4
9,14,5
9,15,6
9,16,9
9,17,13
9,18,15
9,19,19
9,20,25
9,21,34
9,22,42
9,23,51
9,24,61
9,25,78
9,26,98
9,27,122
9,28,146
9,29,175
9,30,209
9,31,253
9,32,307
9,33,374
9,34,444
9,35,524
9,36,617
9,37,729
9,38,858
9,39,1016
10,10,1
10,11,1
10,12,2
10,13,2
10,14,4
10,15,5
10,16,6
10,17,9
10,18,13
10,19,15
10,20,19
10,21,25
10,22,34
10,23,42
10,24,51
10,25,61
10,26,78
10,27,98
10,28,122
10,29,146
10,30,175
10,31,209
10,32,253
10,33,307
10,34,374
10,35,444
10,36,524
10,37,617
10,38,729
10,39,858
11,11,1
11,12,1
11,13,2
11,14,2
11,15,4
11,16,5
11,17,6
11,18,9
11,19,13
11,20,15
11,21,19
11,22,25
11,23,34
11,24,42
11,25,51
11,26,61
11,27,78
11,28,98
11,29,122
11,30,146
11,31,175
11,32,209
11,33,253
11,34,307
11,35,374
11,36,444
11,37,524
11,38,617
11,39,729
12,12,1
12,13,1
12,14,2
12,15,2
12,16,4
12,17,5
12,18,6
12,19,9
12,20,13
12,21,15
12,22,19
12,23,25
12,24,34
12,25,42
12,26,51
12,27,61
12,28,78
12,29,98
12,30,122
12,31,146
12,32,175
12,33,209
12,34,253
12,35,307
12,36,374
12,37,444
12,38,524
12,39,617
13,13,1
13,14,1
13,15,2
13,16,2
13,17,4
13,18,5
13,19,6
13,20,9
13,21,13
13,22,15
13,23,19
13,24,25
13,25,34
13,26,42
13,27,51
13,28,61
13,29,78
13,30,98
13,31,122
13,32,146
13,33,175
13,34,209
13,35,253
13,36,307
13,37,374
13,38,444
13,39,524
14,14,1
14,15,1
14,16,2
14,17,2
14,18,4
14,19,5
14,20,6
14,21,9
14,22,13
14,23,15
14,24,19
14,25,25
14,26,34
14,27,42
14,28,51
14,29,61
14,30,78
14,31,98
14,32,122
14,33,146
14,34,175
14,35,209
14,36,253
14,37,307
14,38,374
14,39,444
