n,k,Num of Dice Combos
3,3,1
3,4,1
3,5,2
3,6,3
3,7,4
3,8,5
3,9,7
3,10,8
3,11,10
3,12,12
3,13,14
3,14,16
3,15,19
3,16,21
3,17,24
3,18,27
3,19,30
3,20,33
3,21,37
3,22,40
3,23,44
3,24,48
3,25,52
3,26,56
3,27,61
3,28,65
3,29,70
3,30,75
3,31,80
3,32,85
3,33,91
3,34,96
3,35,102
3,36,108
3,37,114
3,38,120
3,39,127
4,4,1
4,5,1
4,6,2
4,7,3
4,8,5
4,9,6
4,10,9
4,11,11
4,12,15
4,13,18
4,14,23
4,15,27
4,16,34
4,17,39
4,18,47
4,19,54
4,20,64
4,21,72
4,22,84
4,23,94
4,24,108
4,25,120
4,26,136
4,27,150
4,28,169
4,29,185
4,30,206
4,31,225
4,32,249
4,33,270
4,34,297
4,35,321
4,36,351
4,37,378
4,38,411
4,39,441
5,5,1
5,6,1
5,7,2
5,8,3
5,9,5
5,10,7
5,11,10
5,12,13
5,13,18
5,14,23
5,15,30
5,16,37
5,17,47
5,18,57
5,19,70
5,20,84
5,21,101
5,22,119
5,23,141
5,24,164
5,25,192
5,26,221
5,27,255
5,28,291
5,29,333
5,30,377
5,31,427
5,32,480
5,33,540
5,34,603
5,35,674
5,36,748
5,37,831
5,38,918
5,39,1014
6,6,1
6,7,1
6,8,2
6,9,3
6,10,5
6,11,7
6,12,11
6,13,14
6,14,20
6,15,26
6,16,35
6,17,44
6,18,58
6,19,71
6,20,90
6,21,110
6,22,136
6,23,163
6,24,199
6,25,235
6,26,282
6,27,331
6,28,391
6,29,454
6,30,532
6,31,612
6,32,709
6,33,811
6,34,931
6,35,1057
6,36,1206
6,37,1360
6,38,1540
6,39,1729
7,7,1
7,8,1
7,9,2
7,10,3
7,11,5
7,12,7
7,13,11
7,14,15
7,15,21
7,16,28
7,17,38
7,18,49
7,19,65
7,20,82
7,21,105
7,22,131
7,23,164
7,24,201
7,25,248
7,26,300
7,27,364
7,28,436
7,29,522
7,30,618
7,31,733
7,32,860
7,33,1009
7,34,1175
7,35,1367
7,36,1579
7,37,1824
7,38,2093
7,39,2400
8,8,1
8,9,1
8,10,2
8,11,3
8,12,5
8,13,7
8,14,11
8,15,15
8,16,22
8,17,29
8,18,40
8,19,52
8,20,70
8,21,89
8,22,116
8,23,146
8,24,186
8,25,230
8,26,288
8,27,352
8,28,434
8,29,525
8,30,638
8,31,764
8,32,919
8,33,1090
8,34,1297
8,35,1527
8,36,1801
8,37,2104
8,38,2462
8,39,2857
9,9,1
9,10,1
9,11,2
9,12,3
9,13,5
9,14,7
9,15,11
9,16,15
9,17,22
9,18,30
9,19,41
9,20,54
9,21,73
9,22,94
9,23,123
9,24,157
9,25,201
9,26,252
9,27,318
9,28,393
9,29,488
9,30,598
9,31,732
9,32,887
9,33,1076
9,34,1291
9,35,1549
9,36,1845
9,37,2194
9,38,2592
9,39,3060
10,10,1
10,11,1
10,12,2
10,13,3
10,14,5
10,15,7
10,16,11
10,17,15
10,18,22
10,19,30
10,20,42
10,21,55
10,22,75
10,23,97
10,24,128
10,25,164
10,26,212
10,27,267
10,28,340
10,29,423
10,30,530
10,31,653
10,32,807
10,33,984
10,34,1204
10,35,1455
10,36,1761
10,37,2112
10,38,2534
10,39,3015
11,11,1
11,12,1
11,13,2
11,14,3
11,15,5
11,16,7
11,17,11
11,18,15
11,19,22
11,20,30
11,21,42
11,22,56
11,23,76
11,24,99
11,25,131
11,26,169
11,27,219
11,28,278
11,29,355
11,30,445
11,31,560
11,32,695
11,33,863
11,34,1060
11,35,1303
11,36,1586
11,37,1930
11,38,2331
11,39,2812
12,12,1
12,13,1
12,14,2
12,15,3
12,16,5
12,17,7
12,18,11
12,19,15
12,20,22
12,21,30
12,22,42
12,23,56
12,24,77
12,25,100
12,26,133
12,27,172
12,28,224
12,29,285
12,30,366
12,31,460
12,32,582
12,33,725
12,34,905
12,35,1116
12,36,1380
12,37,1686
12,38,2063
12,39,2503
13,13,1
13,14,1
13,15,2
13,16,3
13,17,5
13,18,7
13,19,11
13,20,15
13,21,22
13,22,30
13,23,42
13,24,56
13,25,77
13,26,101
13,27,134
13,28,174
13,29,227
13,30,290
13,31,373
13,32,471
13,33,597
13,34,747
13,35,935
13,36,1158
13,37,1436
13,38,1763
13,39,2164
14,14,1
14,15,1
14,16,2
14,17,3
14,18,5
14,19,7
14,20,11
14,21,15
14,22,22
14,23,30
14,24,42
14,25,56
14,26,77
14,27,101
14,28,135
14,29,175
14,30,229
14,31,293
14,32,378
14,33,478
14,34,608
14,35,762
14,36,957
14,37,1188
14,38,1478
14,39,1819
